漢字,臺灣台語羅馬字
二十八萬,lī-tsa̍p-pueh-bān
二十九萬,lī-tsa̍p-káu-bān
三十萬,sann-tsa̍p-bān
三十一萬,sann-tsa̍p-it-bān
三十二萬,sann-tsa̍p-jī-bān
三十二萬,sann-tsa̍p-lī-bān
三十三萬,sann-tsa̍p-sann-bān
三十四萬,sann-tsa̍p-sì-bān
三十五萬,sann-tsa̍p-gōo-bān
三十六萬,sann-tsa̍p-la̍k-bān
三十七萬,sann-tsa̍p-tshit-bān
三十八萬,sann-tsa̍p-peh-bān
三十八萬,sann-tsa̍p-pueh-bān
三十九萬,sann-tsa̍p-káu-bān
四十萬,sì-tsa̍p-bān
四十一萬,sì-tsa̍p-it-bān
四十二萬,sì-tsa̍p-jī-bān
四十二萬,sì-tsa̍p-lī-bān
四十三萬,sì-tsa̍p-sann-bān
四十四萬,sì-tsa̍p-sì-bān
四十五萬,sì-tsa̍p-gōo-bān
四十六萬,sì-tsa̍p-la̍k-bān
四十七萬,sì-tsa̍p-tshit-bān
四十八萬,sì-tsa̍p-peh-bān
四十八萬,sì-tsa̍p-pueh-bān
四十九萬,sì-tsa̍p-káu-bān
五十萬,gōo-tsa̍p-bān
五十一萬,gōo-tsa̍p-it-bān
五十二萬,gōo-tsa̍p-jī-bān
五十二萬,gōo-tsa̍p-lī-bān
五十三萬,gōo-tsa̍p-sann-bān
五十四萬,gōo-tsa̍p-sì-bān
五十五萬,gōo-tsa̍p-gōo-bān
五十六萬,gōo-tsa̍p-la̍k-bān
五十七萬,gōo-tsa̍p-tshit-bān
五十八萬,gōo-tsa̍p-peh-bān
五十八萬,gōo-tsa̍p-pueh-bān
五十九萬,gōo-tsa̍p-káu-bān
六十萬,la̍k-tsa̍p-bān
六十一萬,la̍k-tsa̍p-it-bān
六十二萬,la̍k-tsa̍p-jī-bān
六十二萬,la̍k-tsa̍p-lī-bān
六十三萬,la̍k-tsa̍p-sann-bān
六十四萬,la̍k-tsa̍p-sì-bān
六十五萬,la̍k-tsa̍p-gōo-bān
六十六萬,la̍k-tsa̍p-la̍k-bān
六十七萬,la̍k-tsa̍p-tshit-bān
六十八萬,la̍k-tsa̍p-peh-bān
六十八萬,la̍k-tsa̍p-pueh-bān
六十九萬,la̍k-tsa̍p-káu-bān
七十萬,tshit-tsa̍p-bān
七十一萬,tshit-tsa̍p-it-bān
七十二萬,tshit-tsa̍p-jī-bān
七十二萬,tshit-tsa̍p-lī-bān
七十三萬,tshit-tsa̍p-sann-bān
七十四萬,tshit-tsa̍p-sì-bān
七十五萬,tshit-tsa̍p-gōo-bān
七十六萬,tshit-tsa̍p-la̍k-bān
七十七萬,tshit-tsa̍p-tshit-bān
七十八萬,tshit-tsa̍p-peh-bān
七十八萬,tshit-tsa̍p-pueh-bān
七十九萬,tshit-tsa̍p-káu-bān
八十萬,peh-tsa̍p-bān
八十一萬,peh-tsa̍p-it-bān
八十二萬,peh-tsa̍p-jī-bān
八十二萬,peh-tsa̍p-lī-bān
八十三萬,peh-tsa̍p-sann-bān
八十四萬,peh-tsa̍p-sì-bān
八十五萬,peh-tsa̍p-gōo-bān
八十六萬,peh-tsa̍p-la̍k-bān
八十七萬,peh-tsa̍p-tshit-bān
八十八萬,peh-tsa̍p-peh-bān
八十八萬,peh-tsa̍p-pueh-bān
八十九萬,peh-tsa̍p-káu-bān
八十萬,pueh-tsa̍p-bān
八十一萬,pueh-tsa̍p-it-bān
八十二萬,pueh-tsa̍p-jī-bān
八十二萬,pueh-tsa̍p-lī-bān
八十三萬,pueh-tsa̍p-sann-bān
八十四萬,pueh-tsa̍p-sì-bān
八十五萬,pueh-tsa̍p-gōo-bān
八十六萬,pueh-tsa̍p-la̍k-bān
八十七萬,pueh-tsa̍p-tshit-bān
八十八萬,pueh-tsa̍p-peh-bān
八十八萬,pueh-tsa̍p-pueh-bān
八十九萬,pueh-tsa̍p-káu-bān
九十萬,káu-tsa̍p-bān
九十一萬,káu-tsa̍p-it-bān
九十二萬,káu-tsa̍p-jī-bān
九十二萬,káu-tsa̍p-lī-bān
九十三萬,káu-tsa̍p-sann-bān
九十四萬,káu-tsa̍p-sì-bān
九十五萬,káu-tsa̍p-gōo-bān
九十六萬,káu-tsa̍p-la̍k-bān
九十七萬,káu-tsa̍p-tshit-bān
九十八萬,káu-tsa̍p-peh-bān
九十八萬,káu-tsa̍p-pueh-bān
九十九萬,káu-tsa̍p-káu-bān
一億,tsi̍t-ik
兩億,nn̄g-ik
二億,jī-ik
二億,lī-ik
三億,sann-ik
四億,sì-ik
五億,gōo-ik
六億,la̍k-ik
七億,tshit-ik
