漢字,臺灣台語羅馬字
sinnh-nà,sinnh-nà
熟sāi,si̍k-sāi
sîn,sîn
sio借問,sio-tsioh-mn̄g
sio,sio
sio-kīng,sio-kīng
sio̍h,sio̍h
siū,siū
siunn,siunn
sńg,sńg
sńg-tn̄g,sńg-tn̄g
sông,sông
sù常,sù-siông
suà,suà
suah,suah
suān,suān
suan,suan
suh,suh
suí,suí
ta,ta
ta-ke,ta-ke
ta-kuann,ta-kuann
tak纏,tak-tînn
tâm,tâm
tàn,tàn
tân,tân
tang時,tang-sî
有tang時仔,ū-tang-sî-á
tann,tann
tánn-ha̍p,tánn-ha̍p
tàu,tàu
tàu-sann-kāng,tàu-sann-kāng
tàu-sio-kāng,tàu-sio-kāng
tàu跤手,tàu-kha-tshiú
té,té
tué,tué
teh-beh,teh-beh
teh-bueh,teh-bueh
tih-beh,tih-beh
tih-bueh,tih-bueh
tēnn,tēnn
tīnn,tīnn
tín動,tín-tāng
thái-ko,thái-ko
thang,thang
thàng,thàng
thàng,thàng
that,that
tháu,tháu
頭lê-lê,thâu lê-lê
thí,thí
thīn,thīn
thìng候,thìng-hāu
thóng,thóng
thuah,thuah
thuh,thuh
thuh,thuh
thūn,thūn
tī,tī
tī-leh,tī-leh
tiānn-tiānn,tiānn-tiānn
tiānn-tiānn,tiānn-tiānn
tiâu,tiâu
tìm,tìm
tīng,tīng
tīng,tīng
tīnn,tīnn
tiô,tiô
tio̍h,tio̍h
tio̍h-ài,tio̍h-ài
tńg,tńg
tng-leh,tng-leh
tng-tih,tng-tih
tn̄g,tn̄g
to,to
tò-siàng-hiànn,tò-siàng-hiànn
tò-siak-hiànn,tò-siak-hiànn
to̍h,to̍h
tok-ku,tok-ku
昨hng,tsa-hng
昨hng,tsa̍h-hng
tsa̋ng,tsa̋ng
tsa̍h,tsa̍h
tsàm,tsàm
tsànn,tsànn
tsa̍t,tsa̍t
走tsing,tsáu-tsing
tse,tse
tshènn,tshènn
tshìnn,tshìnn
tsho,tsho
tsha̍k目,tsha̍k-ba̍k
tshap,tshap
tshenn-mê,tshenn-mê
tshinn-mî,tshinn-mî
tshiah,tshiah
tshiám,tshiám
tshiàng聲,tshiàng-siann
tshiànn,tshiànn
tshiau,tshiau
tshiàu談,tshiàu-tâm
tshiâu,tshiâu
tshi̍h,tshi̍h
ji̍h,ji̍h
親tsiânn,tshin-tsiânn
tshng,tshng
笑hai-hai,tshiò-hai-hai
tshím頭,tshím-thâu
tshit-thô,tshit-thô
thit-thô,thit-thô
tshńg,tshńg
tshū,tshū
tshuā,tshuā
tshuah,tshuah
tshuah,tshuah
tshuah,tshuah
tshuân,tshuân
tshuann,tshuann
喙phué,tshuì-phué
tsia,tsia
tsiâ,tsiâ
tsia ê,tsia ê
tsia--ê,tsia--ê
tsua--ê,tsua--ê
tsia-ê,tsia-ê
tsiah,tsiah
tsiah-koh,tsiah-koh
tsiah,tsiah
tsiah-nī,tsiah-nī
食si̍t,tsia̍h-si̍t
tsiánn,tsiánn
tsiânn,tsiânn
tsiânn,tsiânn
tsiânn做,tsiânn-tsò
tsiânn做,tsiânn-tsuè
tsia̍p,tsia̍p
tsiâu,tsiâu
tsih接,tsih-tsiap
tsíng頭仔,tsíng-thâu-á
tsńg頭仔,tsńg-thâu-á
tsíng著,tsíng-tio̍h
tsîng,tsîng
tsinn,tsinn
tsínn,tsínn
tsìnn,tsìnn
tsiok,tsiok
tsit,tsit
tsit-má,tsit-má
tsiunn蜍,tsiunn-tsî
tsiūnn,tsiūnn
tso̍h--日,tso̍h--ji̍t
tso̍h--li̍t,tso̍h--li̍t
tsū,tsū
tsuā,tsuā
tsuann,tsuann
tsuànn,tsuànn
tsūn,tsūn
tú-tsiah,tú-tsiah
tū,tū
tuè,tuè
tè,tè
