漢字,臺灣台語羅馬字
芬園鄉,Hun-hn̂g-hiong
花壇鄉,Hue-tuânn-hiong
秀水鄉,Siù-tsuí-hiong
鹿港鎮,Lo̍k-káng-tìn
福興鄉,Hok-hing-hiong
線西鄉,Suànn-sai-hiong
和美鎮,Hô-bí-tìn
伸港鄉,Sin-káng-hiong
新港鄉,Sin-káng-hiong
員林市,Uân-lîm-tshī
社頭鄉,Siā-thâu-hiong
永靖鄉,Íng-tsīng-hiong
永靖鄉,Éng-tsēng-hiong
埔心鄉,Poo-sim-hiong
溪湖鎮,Khe-ôo-tìn
大村鄉,Tāi-tshuan-hiong
埔鹽鄉,Poo-iâm-hiong
田中鎮,Tiân-tiong-tìn
北斗鎮,Pó-táu-tìn
寶斗鎮,Pó-táu-tìn
田尾鄉,Tshân-bué-hiong
埤頭鄉,Pi-thâu-hiong
溪州鄉,Khe-tsiu-hiong
竹塘鄉,Tik-tn̂g-hiong
二林鎮,Jī-lîm-tìn
大城鄉,Tuā-siânn-hiong
芳苑鄉,Hong-uán-hiong
二水鄉,Jī-tsuí-hiong
南投縣,Lâm-tâu-kuān
南投市,Lâm-tâu-tshī
中寮鄉,Tiong-liâu-hiong
草屯鎮,Tsháu-tùn-tìn
草鞋墩,Tsháu-ê-tun
國姓鄉,Kok-sìng-hiong
埔里鎮,Poo-lí-tìn
仁愛鄉,Jîn-ài-hiong
名間鄉,Bîng-kan-hiong
集集鎮,Tsi̍p-tsi̍p-tìn
水里鄉,Tsuí-lí-hiong
魚池鄉,Hî-tî-hiong
魚池仔,Hî-tî-á
信義鄉,Sìn-gī-hiong
竹山鎮,Tik-san-tìn
鹿谷鄉,Lo̍k-kok-hiong
嘉義市,Ka-gī-tshī
東區,Tang-khu
西區,Sai-khu
嘉義縣,Ka-gī-kuān
番路鄉,Huan-lōo-hiong
梅山鄉,Buê-san-hiong
竹崎鄉,Tik-kiā-hiong
阿里山鄉,A-lí-san-hiong
大枋,Tuā-pang
中埔鄉,Tiong-poo-hiong
大埔鄉,Tuā-poo-hiong
水上鄉,Tsuí-siōng-hiong
水上鄉,Tsuí-siāng-hiang
鹿草鄉,Lo̍k-tsháu-hiong
太保市,Thài-pó-tshī
朴子市,Phoh-tsú-tshī
東石鄉,Tang-tsio̍h-hiong
六腳鄉,La̍k-kha-hiong
新港鄉,Sin-káng-hiong
民雄鄉,Bîn-hiông-hiong
大林鎮,Tuā-nâ-tìn
溪口鄉,Khe-kháu-hiong
義竹鄉,Gī-tik-hiong
布袋鎮,Pòo-tē-tìn
雲林縣,Hûn-lîm-kuān
斗南鎮,Táu-lâm-tìn
大埤鄉,Tuā-pi-hiong
虎尾鎮,Hóo-bué-tìn
土庫鎮,Thôo-khòo-tìn
褒忠鄉,Po-tiong-hiong
東勢鄉,Tang-sì-hiong
臺西鄉,Tâi-se-hiong
崙背鄉,Lūn-puè-hiong
麥寮鄉,Be̍h-liâu-hiong
斗六市,Táu-la̍k-tshī
林內鄉,Nâ-lāi-hiong
古坑鄉,Kóo-khenn-hiong
莿桐鄉,Tshì-tông-hiong
西螺鎮,Sai-lê-tìn
二崙鄉,Jī-lūn-hiong
北港鎮,Pak-káng-tìn
水林鄉,Tsuí-nâ-hiong
口湖鄉,Kháu-ôo-hiong
四湖鄉,Sì-ôo-hiong
元長鄉,Guân-tsióng-hiong
元掌鄉,Guân-tsióng-hiong
臺南市,Tâi-lâm-tshī
中西區,Tiong-se-khu
東區,Tang-khu
南區,Lâm-khu
北區,Pak-khu
安平區,An-pîng-khu
安南區,An-lâm-khu
永康區,Íng-khong-khu
歸仁區,Kui-jîn-khu
新化區,Sin-huà-khu
左鎮區,Tsó-tìn-khu
玉井區,Gio̍k-tsénn-khu
楠西區,Lâm-se-khu
南化區,Lâm-huà-khu
仁德區,Jîn-tik-khu
關廟區,Kuan-biō-khu
龍崎區,Liông-kiā-khu
官田區,Kuann-tiān-khu
官佃區,Kuann-tiān-khu
麻豆區,Muâ-tāu-khu
佳里區,Ka-lí-khu
西港區,Sai-káng-khu
西港仔,Sai-káng-á
七股區,Tshit-kóo-khu
將軍區,Tsiong-kun-khu
學甲區,Ha̍k-kah-khu
北門區,Pak-mn̂g-khu
北門嶼,Pak-mn̂g-sū
北門嶼,Pàng-sū
新營區,Sin-iânn-khu
後壁區,Āu-piah-khu
白河區,Pe̍h-hô-khu
東山區,Tong-san-khu
六甲區,La̍k-kah-khu
下營區,Ē-iânn-khu
柳營區,Liú-iânn-khu
鹽水區,Kiâm-tsuí-khu
鹹水區,Kiâm-tsuí-khu
善化區,Siān-huà-khu
灣裡街,Uan-lí-ke
大內區,Tuā-lāi-khu
山上區,San-siōng-khu
山仔頂,Suann-á-tíng
新市區,Sin-tshī-khu
新市仔,Sin-tshī-á
安定區,An-tīng-khu
高雄市,Ko-hiông-tshī
新興區,Sin-hing-khu
前金區,Tsiân-kim-khu
苓雅區,Lîng-ngá-khu
苓雅寮,Lîng-á-liâu
鹽埕區,Iâm-tiânn-khu
鼓山區,Kóo-san-khu
旗津區,Kî-tin-khu
前鎮區,Tsiân-tìn-khu
三民區,Sam-bîn-khu
楠梓區,Lâm-tsú-khu
楠仔坑,Lâm-á-khenn
小港區,Sió-káng-khu
左營區,Tsó-iânn-khu
仁武區,Jîn-bú-khu
大社區,Tuā-siā-khu
岡山區,Kong-san-khu
路竹區,Lōo-tik-khu
阿蓮區,A-lian-khu
阿嗹區,A-lian-khu
田寮區,Tshân-liâu-khu
燕巢區,Iàn-tsâu-khu
橋頭區,Kiô-thâu-khu
橋仔頭,Kiô-á-thâu
梓官區,Tsú-kuann-khu
彌陀區,Mî-tô-khu
彌陀港,Bî-lô-káng
永安區,Íng-an-khu
湖內區,Ôo-lāi-khu
鳳山區,Hōng-suann-khu
大寮區,Tuā-liâu-khu
林園區,Lîm-hn̂g-khu
林園區,Lîm-mn̂g-khu
林園,Lîm-mn̂g
鳥松區,Tsiáu-tshîng-khu
鳥榕區,Tsiáu-tshîng-khu
大樹區,Tuā-tshiū-khu
旗山區,Kî-san-khu
美濃區,Bi-long-khu
瀰濃區,Bi-long-khu
六龜區,La̍k-ku-khu
內門區,Lāi-bûn-khu
杉林區,Sam-nâ-khu
甲仙區,Kah-sian-khu
桃源區,Thô-guân-khu
那瑪夏區,Na-má-siah-khu
茂林區,Bōo-lîm-khu
茄萣區,Ka-tiann-khu
茄萣仔,Ka-tiann-á
澎湖縣,Phînn-ôo-kuān
澎湖縣,Phênn-ôo-kuān
馬公市,Má-king-tshī
媽宮市,Má-king-tshī
西嶼鄉,Sai-sū-hiong
望安鄉,Bāng-uann-hiong
網垵鄉,Bāng-uann-hiong
七美鄉,Tshit-bí-hiong
白沙鄉,Pe̍h-sua-hiong
湖西鄉,Ôo-sai-hiong
屏東縣,Pîn-tong-kuān
屏東市,Pîn-tong-tshī
三地門鄉,Suann-ti-mn̂g-hiong
山豬毛鄉,Suann-ti-mn̂g-hiong
山地門,Suann-tē-mn̂g
霧臺鄉,Bū-tâi-hiong
瑪家鄉,Má-ka-hiong
九如鄉,Kiú-jû-hiong
里港鄉,Lí-káng-hiong
高樹鄉,Ko-tshiū-hiong
高樹下仔,Kōo-sú-hâ-á
鹽埔鄉,Iâm-poo-hiong
長治鄉,Tióng-tī-hiong
麟洛鄉,Lîn-lo̍k-hiong
竹田鄉,Tik-tshân-hiong
內埔鄉,Lāi-poo-hiong
內埔仔,Lāi-poo-á
萬丹鄉,Bān-tan-hiong
潮州鎮,Tiô-tsiu-tìn
泰武鄉,Thài-bú-hiong
來義鄉,Lâi-gī-hiong
萬巒鄉,Bân-bân-hiong
蠻蠻鄉,Bân-bân-hiong
崁頂鄉,Khàm-tíng-hiong
新埤鄉,Sin-pi-hiong
南州鄉,Lâm-tsiu-hiong
林邊鄉,Nâ-pinn-hiong
林仔邊鄉,Nâ-á-pinn-hiong
林邊鄉,Na̋-pinn-hiong
東港鎮,Tang-káng-tìn
琉球鄉,Liû-khiû-hiong
佳冬鄉,Ka-tang-hiong
新園鄉,Sin-hn̂g-hiong
枋寮鄉,Pang-liâu-hiong
枋山鄉,Pang-suann-hiong
崩山鄉,Pang-suann-hiong
春日鄉,Tshun-ji̍t-hiong
獅子鄉,Sai-á-hiong
獅仔鄉,Sai-á-hiong
車城鄉,Tshâ-siânn-hiong
柴城鄉,Tshâ-siânn-hiong
牡丹鄉,Bóo-tan-hiong
恆春鎮,Hîng-tshun-tìn
滿州鄉,Buán-tsiu-hiong
臺東縣,Tâi-tang-kuān
臺東市,Tâi-tang-tshī
綠島鄉,Li̍k-tó-hiong
蘭嶼鄉,Lân-sū-hiong
延平鄉,Iân-pîng-hiong
卑南鄉,Pi-lâm-hiong
鹿野鄉,Lo̍k-iá-hiong
關山鎮,Kuan-san-tìn
海端鄉,Hái-tuan-hiong
池上鄉,Tî-siōng-hiong
東河鄉,Tong-hô-hiong
成功鎮,Sîng-kong-tìn
長濱鄉,Tiông-pin-hiong
太麻里鄉,Thài-mâ-lí-hiong
大貓狸,Tuā-ba-lî
金峰鄉,Kim-hong-hiong
大武鄉,Tāi-bú-hiong
